GeneID	GSM8343538	GSM8343539	GSM8343540	GSM8343541	GSM8343542	GSM8343543	GSM8343544	GSM8343545	GSM8343546	GSM8343547
100287102	25	49	39	46	39	41	44	36	46	51
653635	1497	827	863	857	1104	750	984	721	731	1390
102466751	49	52	64	40	51	48	51	38	33	87
107985730	6	10	17	25	16	10	14	12	6	4
100302278	3	1	4	5	2	4	4	2	1	1
645520	1	2	2	3	3	0	2	1	2	2
79501	0	0	0	0	0	2	2	0	0	0
100996442	141	114	176	148	145	113	133	99	112	109
729737	1566	544	930	709	653	547	566	381	403	705
102725121	31	55	49	66	57	62	59	37	49	87
102723897	1353	834	865	982	1143	817	929	709	820	1375
102465909	30	24	28	18	26	21	27	20	18	27
107985721	23	31	28	53	40	23	37	30	16	17
112268260	23	32	27	33	28	20	21	25	26	22
729759	0	7	3	4	3	2	3	1	3	1
100132287	1467	801	1076	881	881	793	719	520	631	955
105378947	7	8	3	6	3	2	5	6	4	10
101928626	1	1	2	0	0	0	2	0	0	1
113219467	5374	5228	4657	4515	5969	3938	4010	3936	4817	4243
81399	12	35	28	32	35	27	22	11	19	16
100133331	951	592	824	680	657	594	517	399	449	682
107984841	241	253	328	300	259	306	233	177	208	228
107984847	467	340	445	392	443	369	289	244	304	387
107984849	40	94	101	68	114	97	75	62	68	60
100288069	302	317	393	365	356	306	276	214	259	268
105378580	102	246	227	314	292	215	234	193	247	142
400728	54	65	68	53	49	51	52	40	48	70
79854	59	65	65	74	76	74	72	37	57	82
643837	775	1051	1007	1319	1378	833	1173	933	936	918
107984850	2	1	6	2	3	1	0	2	1	2
284593	2	6	5	7	4	8	4	3	7	10
284600	255	159	167	191	211	179	243	103	66	155
100130417	77	51	89	76	58	75	67	52	38	44
107985728	131	18	40	73	63	26	79	39	46	99
148398	508	232	290	367	368	236	429	331	266	582
26155	2283	2405	2432	2505	3127	2769	3446	2679	2442	6504
339451	635	261	457	342	410	287	326	193	212	351
84069	28	0	3	0	5	0	7	7	9	22
84808	18	3	3	0	0	0	1	7	0	6
57801	5540	1180	1673	1120	1257	347	1108	519	640	1275
9636	67	66	138	103	127	66	305	594	1102	1189
375790	26801	7722	6542	7190	5903	4626	8834	6263	5116	23713
100288175	27	16	20	14	14	4	27	16	6	17
112267874	20	8	13	3	6	3	10	4	5	7
105378948	13	13	15	14	15	7	23	18	5	17
401934	1	0	0	0	2	0	0	0	0	1
54991	348	552	581	497	604	500	559	393	472	694
254099	0	0	0	0	0	0	0	0	4	22
406984	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	3
554210	8	0	0	0	0	0	0	0	0	2
100506376	59	18	4	25	14	7	13	0	1	1
254173	42	28	19	32	26	3	10	1	3	5
8784	7	2	6	2	1	0	4	8	3	8
7293	17	9	6	2	5	8	4	6	0	45
51150	3083	2527	2429	2905	3249	2460	3743	3278	3981	8599
126792	2435	1545	1632	1835	2278	1661	1862	1447	1720	2943
388581	56	11	11	11	16	19	16	8	4	45
118424	3939	1941	2045	2033	2606	1849	2306	1660	2201	2631
101928895	186	88	113	103	117	72	83	57	50	174
6339	150	91	220	96	130	105	104	101	92	151
116983	5124	1788	1349	1326	1381	1173	1937	1289	1176	3670
102465434	5	2	1	1	1	0	0	1	1	6
109623456	34	8	8	3	2	6	7	4	5	18
126789	680	391	668	466	717	471	525	358	401	729
54973	1120	1956	2454	2234	2900	2048	2296	1696	2005	2727
102465435	10	4	4	4	10	3	4	7	2	4
80772	674	524	519	552	671	456	594	461	620	1029
83756	162	54	48	36	40	44	50	34	31	105
1855	1593	1072	1061	1213	1195	1097	1386	953	987	2350
102466740	2	0	0	0	0	0	1	5	1	2
54587	374	202	523	564	389	331	1184	1533	1831	3615
54998	1800	1690	2100	1760	2627	1659	2095	1515	1976	3214
81669	3903	5278	9112	6874	8118	6225	7656	6154	6399	5250
148413	330	578	597	718	636	561	669	543	549	647
55052	1440	1558	1824	1716	2250	1645	1954	1526	1796	1715
107984868	11	37	43	49	47	67	50	24	28	12
441869	44	20	20	26	20	19	18	26	22	20
105378585	10	3	4	5	6	8	6	2	12	8
643965	64	1	7	8	8	2	6	3	0	6
102724312	74	11	20	19	32	6	16	7	7	21
107985729	36	3	12	12	11	9	14	4	3	15
64856	513	255	368	532	620	548	386	263	293	556
219293	108	47	33	56	67	67	76	39	56	138
83858	2724	1416	1285	1234	1331	1242	1707	1113	1031	2714
55210	1422	1038	950	945	1029	1119	1533	1004	941	3032
339453	243	127	135	117	130	115	106	75	96	162
29101	1660	2671	3603	3355	4425	3001	3544	2780	3853	3256
643988	225	171	274	257	418	233	220	190	208	302
